Deck Name,Total Price,Card Name,Card Quantity,Card Price
Burn,555.91,Sunbaked Canyon,4,82.84
Burn,555.91,Wooded Foothills,2,78.1
Burn,555.91,Path to Exile,2,8.94
Burn,555.91,Deflecting Palm,3,3.18
Burn,555.91,Rest in Peace,2,12.9
Burn,555.91,Skullcrack,3,9.36
Burn,555.91,Smash to Smithereens,2,0.7
Burn,555.91,Exquisite Firecraft,2,1.96
Jund,1768.57,Lurrus of the Dream-Den,1,6.92
Jund,1768.57,Elvish Reclaimer,4,22.24
Jund,1768.57,"Ragavan, Nimble Pilferer",4,345.28
Jund,1768.57,"Kroxa, Titan of Death's Hunger",1,23.0
Jund,1768.57,Tarmogoyf,4,99.96
Jund,1768.57,"Tourach, Dread Cantor",2,13.3
Jund,1768.57,Wrenn and Six,4,411.96
Jund,1768.57,Fatal Push,2,4.9
Jund,1768.57,Inquisition of Kozilek,4,12.4
Jund,1768.57,Lightning Bolt,1,2.01
Jund,1768.57,Thoughtseize,2,29.94
Jund,1768.57,Unholy Heat,2,1.0
Jund,1768.57,Assassin's Trophy,2,29.02
Jund,1768.57,Kolaghan's Command,2,21.5
Jund,1768.57,Pyrite Spellbomb,1,0.25
Jund,1768.57,Shadowspear,1,19.71
Jund,1768.57,Soul-Guide Lantern,1,2.42
Jund,1768.57,Blackcleave Cliffs,1,33.0
Jund,1768.57,Blood Crypt,2,33.76
Jund,1768.57,Bloodstained Mire,3,119.97
Jund,1768.57,Blooming Marsh,1,7.08
Jund,1768.57,Forest,1,0.0
Jund,1768.57,Mountain,1,0.0
Jund,1768.57,Overgrown Tomb,2,27.76
Jund,1768.57,Stomping Ground,1,10.38
Jund,1768.57,Swamp,2,0.0
Jund,1768.57,Urza's Saga,4,177.56
Jund,1768.57,Verdant Catacombs,4,101.52
Jund,1768.57,Wooded Foothills,1,39.05
Jund,1768.57,Blast Zone,1,3.27
Jund,1768.57,Bojuka Bog,1,1.25
Jund,1768.57,Chalice of the Void,1,68.0
Jund,1768.57,Engineered Explosives,1,18.99
Jund,1768.57,Ghost Quarter,1,1.4
